"Story","Title","Result","Date","Stability","Duration (s)"
"Navigate GMM","Getting to page that shows application","SUCCESS","2017-09-10T13:40:44.817-04:00[America/New_York]","0.0","7.05"
"Navigate GMM","Create a grant application","ERROR","2017-09-10T13:40:58.472-04:00[America/New_York]","0.0","1.96"
"Navigate GMM","Enter application data","SUCCESS","2017-09-10T13:41:01.143-04:00[America/New_York]","0.0","0.02"
