"Story","Title","Result","Date","Stability","Duration (s)"
"Navigate GMM","Create a grant application","PENDING","2017-09-12T17:56:00.679-04:00[America/New_York]","0.0","5.44"
"Navigate GMM","Enter application data","PENDING","2017-09-12T17:56:06.549-04:00[America/New_York]","0.0","4.53"
