"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-09-06T14:40:59.155-04:00[America/New_York]","0.0","185.18"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-09-06T14:44:09.796-04:00[America/New_York]","0.0","400.11"
