"Story","Title","Result","Date","Stability","Duration (s)"
"Navigate GMM","Getting to page that shows application","SUCCESS","2017-09-13T16:45:06.928-04:00[America/New_York]","0.0","12.89"
"Navigate GMM","Create a grant application","ERROR","2017-09-13T16:45:26.665-04:00[America/New_York]","0.0","13.34"
"Navigate GMM","Enter application data","PENDING","2017-09-13T16:45:41.141-04:00[America/New_York]","0.0","7.24"
