"Story","Title","Result","Date","Stability","Duration (s)"
"Navigate GMM","Getting to page that shows application","SUCCESS","2017-09-12T15:03:40.177-04:00[America/New_York]","0.0","20.42"
"Navigate GMM","Create a grant application","ERROR","2017-09-12T15:04:05.753-04:00[America/New_York]","0.0","37.37"
"Navigate GMM","Enter application data","PENDING","2017-09-12T15:04:43.786-04:00[America/New_York]","0.0","7.4"
