"Story","Title","Result","Date","Stability","Duration (s)"
"Navigate GMM","Getting to page that shows application","SUCCESS","2017-09-10T10:19:13.542-04:00[America/New_York]","0.0","10.54"
"Navigate GMM","Create a grant application","SUCCESS","2017-09-10T10:19:31.100-04:00[America/New_York]","0.0","0.14"
"Navigate GMM","Enter application data","SUCCESS","2017-09-10T10:19:31.457-04:00[America/New_York]","0.0","0.02"
